ToM HJD (+2400000);E(GCVS);O-C;AAVSO;ADS;ASAS;BAV;CDB;GEOS;KWS;type;source;observer;reference
37128,8360;1651;-0,14;;-0,14;;;;;;V;ADS;Schaltenbrand & Tammann ;Schaltenbrand Tammann A&AS 1971
37348,1040;1695;-0,14;;-0,14;;;;;;pe;ADS;;Szabados 1977
37422,7810;1710;-0,22;;-0,22;;;;;;pg;ADS;;Szabados 1977
37487,5670;1723;-0,22;;-0,22;;;;;;pg;ADS;;Szabados 1977
38070,6070;1840;-0,24;;-0,24;;;;;;pg;ADS;;Szabados 1977
38070,6100;1840;-0,24;;-0,24;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
38474,0680;1921;-0,44;;-0,44;;;;;;pg;ADS;;Szabados 1977
39754,9690;2178;-0,29;;-0,29;;;;;;pe;ADS;;Szabados 1977
41902,7130;2609;-0,41;;-0,41;;;;;;V;BAV/Lit.;un.;BAV Meyer 2023
41907,6880;2610;-0,42;;-0,42;;;;;;pe;ADS;;Szabados 1977
42316,4570;2692;-0,30;;;;;-0,30;;;V;CDB;CDB;Szabados 1977
43731,6000;2976;-0,46;;;;;;-0,46;;vis;GEOS;Le Borgne, 1983;GEOS NC 376
44463,9850;3123;-0,64;;;;;-0,64;;;V;CDB;Moffett et al. 1984;Moffett et al. 1984
44483,9200;3127;-0,64;;;;;-0,64;;;V;CDB;Moffett et al. 1984;Moffett 1984 ApJ55
44498,9390;3130;-0,57;;-0,57;;;;;;V;ADS;Moffett et al, 1988;ApJS 55, 1985
44802,9060;3191;-0,59;;-0,59;;;;;;V;BAV/Lit.;un.;BAV Meyer 2023
44822,8800;3195;-0,55;;-0,55;;;;;;V;ADS;Moffett et al, 1986;ApJS 55, 1985
44912,6200;3213;-0,52;;-0,52;;;;;;V;ADS;Moffett et al, 1987;ApJS 55, 1985
47085,5000;3649;-0,42;;;;-0,42;;;;vis;BAV/Lit.;BAV Thomas;BAV Data Base
47199,6900;3672;-0,85;;-0,85;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
48171,4400;3867;-0,88;;;;-0,88;;;;vis;BAV/Lit.;BAV Kriebel;BAV Data Base
48370,7590;3907;-0,90;;-0,90;;;;;;V;BAV/Lit.;un.;BAV Meyer 2023
48415,6330;3916;-0,87;;-0,87;;;;;;V;BAV/Lit.;un.;BAV Meyer 2023
48505,4300;3934;-0,78;;;;-0,78;;;;vis;BAV/Lit.;BAV Thomas;BAV Data Base
48510,3039;3935;-0,89;;;;;-0,89;;;V;CDB;CDB;Berdnikov 1992
48555,4100;3944;-0,63;;;;-0,63;;;;vis;BAV/Lit.;BAV Kriebel;BAV Data Base
48854,3700;4004;-0,68;;;;;-0,68;;;V;CDB;CDB;Berdnikov 1992
48879,0240;4009;-0,94;;-0,94;;;;;;V;BAV/Lit.;un.;BAV Meyer 2023
49212,9040;4076;-0,96;;-0,96;;;;;;V;BAV/Lit.;un.;BAV Meyer 2023
49621,7700;4158;-0,73;;;;;-0,73;;;V;CDB;Berdnikov 1993;Berdnikov 1993
49631,3300;4160;-1,14;;;;;-1,14;;;V;CDB;Berdnikov 1993;Berdnikov 1993
50847,4000;4404;-1,03;;;;-1,03;;;;vis;BAV/Lit.;BAV Meyer ;BAV Data Base
51106,5600;4456;-1,01;;;;-1,01;;;;vis;BAV/Lit.;BAV Meyer ;BAV Data Base
51799,3400;4595;-0,93;;;;-0,93;;;;vis;BAV/Lit.;BAV Meyer ;BAV Data Base
52915,4000;4819;-1,17;;-1,17;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
53194,3700;4875;-1,27;;;;-1,27;;;;vis;BAV/Lit.;BAV Meyer ;OEJV 0001, 2005
53194,3800;4875;-1,26;;;;-1,26;;;;vis;BAV/Lit.;BAV Meyer ;BAV Data Base
54041,3049;5045;-1,53;-1,53;;;;;;;vis;AAVSO;Gobet 2006;AAVSO this paper
